DOI,Title,Matched Columns,Matched keywards
10.1109/ISCAS45731.2020.9180682,Live Demonstration: Low-Power and High-Speed Deep FPGA Inference Engines for Weed Classification at the Edge,"Document Title, Abstract","low-power , low-power "
10.1109/ISCAS45731.2020.9180683,Live Demonstration: Unobtrusive and Continuous Monitoring of Respiration Employing a Dual CW Radar Assembly,Abstract,raspberry pi
10.1109/ISCAS45731.2020.9180692,FIR DACs in CT Incremental Delta-Sigma Modulators,IEEE Terms,quantization
10.1109/ISCAS45731.2020.9180704,VLSI Design of Tree-Based Inference for Low-Power Learning Applications,"Document Title, IEEE Terms","low-power , quantization"
10.1109/ISCAS45731.2020.9180713,A 12.5 Gb/s 1.93 pJ/Bit Optical Receiver Exploiting Silicon Photonic Delay Lines for Clock Phases Generation Replacement,Author Keywords,low-power 
10.1109/ISCAS45731.2020.9180723,Modeling and Characterization of Metastability in Single Flux Quantum (SFQ) Synchronizers,Abstract,low-power 
10.1109/ISCAS45731.2020.9180724,A Low Voltage Discriminant Circuit for Pattern Recognition Exploiting the Asymmetrical Characteristics of Tunnel FET,Abstract,energy consumption
10.1109/ISCAS45731.2020.9180728,An Inference Hardware Accelerator for EEG-Based Emotion Detection,Abstract,low-power 
10.1109/ISCAS45731.2020.9180729,A Multi-Feature Nonlinear-SVM Seizure Detection Algorithm with Patient-Specific Channel Selection and Feature Customization,Abstract,low-power 
10.1109/ISCAS45731.2020.9180738,A 191 mV/pH Sensitivity and 2219 FPS Frame Rate CMOS Ion Image Sensor,"Abstract, IEEE Terms","quantization, quantization"
10.1109/ISCAS45731.2020.9180739,A 63.2μW 11-Bit Column Parallel Single-Slope ADC with Power Supply Noise Suppression for CMOS Image Sensors,Author Keywords,low-power 
10.1109/ISCAS45731.2020.9180742,Low-Cost Reservoir Computing using Cellular Automata and Random Forests,"Abstract, Abstract","pruning, memory usage"
10.1109/ISCAS45731.2020.9180743,Exact In-Memory Multiplication Based on Deterministic Stochastic Computing,"Abstract, Abstract","energy consumption, memory usage"
10.1109/ISCAS45731.2020.9180744,Accurate and Energy-Efficient Implementation of Non-Linear Adder in Parallel Stochastic Computing using Sorting Network,"Document Title, Abstract, IEEE Terms","energy-efficient, energy consumption, energy consumption"
10.1109/ISCAS45731.2020.9180755,Low-Complexity Real-Time Light Field Compression using 4-D Approximate DCT,IEEE Terms,quantization
10.1109/ISCAS45731.2020.9180756,Assessment of Perceptual Depth Intensity on Source Stereoscopic Images,Abstract,quantization
10.1109/ISCAS45731.2020.9180762,Submission for CAS Transactions Papers: Design Methodology Based on the Inversion Coefficient and its Application to Inductorless LNA Implementations,IEEE Terms,low-power 
10.1109/ISCAS45731.2020.9180763,"Unified Analysis, Modeling, and Simulation of Chopping Artifacts in Continuous-Time Delta-Sigma Modulators","Abstract, IEEE Terms","quantization, quantization"
10.1109/ISCAS45731.2020.9180766,Automated Design of Reconfigurable Microarchitectures for Accelerators under Wide-Voltage Scaling,Author Keywords,energy consumption
10.1109/ISCAS45731.2020.9180767,Low-Power Approximate Multiplier with Error Recovery using a New Approximate 4-2 Compressor,"Document Title, Abstract","low-power , energy-efficient"
10.1109/ISCAS45731.2020.9180769,Hardware Efficient Function Computation Based on Optimized Piecewise Polynomial Approximation,"Abstract, IEEE Terms","quantization, quantization"
10.1109/ISCAS45731.2020.9180770,Novel Noise-Shaping Stochastic-Computing Converters for Digital Filtering,Abstract,quantization
10.1109/ISCAS45731.2020.9180782,An Optimized VLSI Implementation of an IEEE 802.11n/ac/ax LDPC Decoder,Abstract,low-power 
10.1109/ISCAS45731.2020.9180784,Low-Complexity Fully-Digital Phase Noise Suppression for Millimeter-Wave Systems,"Abstract, IEEE Terms","quantization, quantization"
10.1109/ISCAS45731.2020.9180794,A CMOS Multi-Sensor Array for High Accuracy On-Chip Bacterial Growth Monitoring,Abstract,quantization
10.1109/ISCAS45731.2020.9180801,A Process-Variation Robust RRAM-Compatible CMOS Neuron for Neuromorphic System-on-a-Chip,Abstract,low-power 
10.1109/ISCAS45731.2020.9180803,Circuit Cost Reduction for Online STDP using NIPIN Selector as Timekeeping Device in RRAM Synapse,IEEE Terms,energy consumption
10.1109/ISCAS45731.2020.9180807,High-Dynamic-Range Image Reconstruction from Pixel-Level Self-Reset ADC Samples,IEEE Terms,quantization
